66 Kanata,3002 ALBERT AND BANK	3004 ALBERT AND BAY	3003 ALBERT AND KENT	3001 ALBERT AND METCALFE	3050 BAYSHORE 1A	3050 BAYSHORE 2A	3050 BAYSHORE 3A	3050 BAYSHORE 4A	3050 BAYSHORE 4B	3060 BAYVIEW	3060 BAYVIEW 1A	3060 BAYVIEW 2A	3376 BRIDGESTONE AND CEDAR VALLEY	4925 BRIDGESTONE AND GRASSY PLAINS	3569 BRIDGESTONE AND MILNER DOWNS	3013 DOMINION 1A	3013 DOMINION 2A	3013 DOMINION STN OFF STOP	6224 GRASSY PLAINS AND BIRCHFIELD	6225 GRASSY PLAINS AND DEERCHASE	6739 GRASSY PLAINS AND FARMFIELD	6222 GRASSY PLAINS AND FARMFIELD	3010 LEBERETON 2A	3010 LEBRETON 1A	3010 LEBRETON 3A	3014 LINCOLN FIELDS 1A	3014 LINCOLN FIELDS 1B	3014 LINCOLN FIELDS 2A	3014 LINCOLN FIELDS 3A	3014 LINCOLN FIELDS 3B	3014 LINCOLN FIELDS 4A	3014 LINCOLN FIELDS 4B	3014 LINCOLN FIELDS 5A	3014 LINCOLN FIELDS OFF STOP	3000 MACKENZIE KING 1A	3000 MACKENZIE KING 2A	8569 MOODIE AND AD 200	1316 MOODIE AND FITZGERALD	5280 MOODIE AND HADEY	5271 MOODIE AND OLD RICHMOND	5284 MOODIE AND RAMP	6477 MOODIE AND ROBERTSON	5261 OLD RICHMOND AND SEYTON	3019 PINECREST 1A	3019 PINECREST 2A	6217 STONEHAVEN AND BRIDLEWOOD	1041 STONEHAVEN AND KINGHAVEN	6215 STONEHAVEN AND PINE HILL	1879 STONEHAVEN AND STEEPLE CHASE	6701 STONEHAVEN AND STONEMEADW	1796 STONEHAVEN AND WIILOWGLEN	3011 TUNNEY'S PASTURE A	3011 TUNNEY'S PASTURE B	3011 TUNNEY'S PASTURE C	3011 TUNNEY'S PASTURE D	3012 WESTBORO 1A	3012 WESTBORO 1B	3012 WESTBORO 2A	3012 WESTBORO 3A	3012 WESTBORO 4A	3012 WESTBORO OFF STOP
131 Convent Glen,1793 CHAMPLAIN AND RR 174	1887 CHARLEMAGNE AND CANTEVAL	1556 CHARLEMAGNE AND GARDENWAY	1674 CHARLEMAGNE AND MERKLEY	1885 CHARLEMAGNE AND ORCHARDVIEW	1929 CHARLEMAGNE AND PATHWAY	7891 CHARLEMAGNE AND PRINCESS LOUISE	6409 CHARLEMAGNE AND TENTH LINE	7892 CHARLEMAGNE AND TENTH LINE	7887 CHARLEMAGNE AND TOURELLE PATHWAY	7889 CHARLEMAGNE AND WATTERS	7836 CHARTRAND AND DUFORD	8111 CHARTRAND AND DUFORD	2419 DES ÉPINETTES AND DES POMMES	7822 DES ÉPINETTES AND FERNLEAF	7823 DES ÉPINETTES AND LAFRANCE	7955 DES ÉPINETTES AND LAMOUREUX	2423 DES ÉPINETTES AND PRESTWICK	7954 DES ÉPINETTES AND SILVER BARK	2908 DES ÉPINETTES AND SUNVIEW	3704 DES ÉPINETTES AND WILDFLOWER	7729 FOREST VALLEY AND RIDGELEA	7728 FORESTVALLEY AND FORESTGLEN	7864 FORESTVALLEY AND MEADWGLEN	7763 INNES AND AD 3927	8955 INNES AND VISENEAU	3070 JEANNE D'ARC 1A	3070 JEANNE D'ARC 1B	3070 JEANNE D'ARC 2A	3070 JEANNE D'ARC 3A	3070 JEANNE D'ARC 3B	3070 JEANNE D'ARC 4A	3070 JEANNE D'ARC 4B	8152 JEANNE D'ARC AND AVIGNON	8153 JEANNE D'ARC AND BILBERRY	8143 JEANNE D'ARC AND BILBERRY	7911 JEANNE D'ARC AND DECARIE	1974 JEANNE D'ARC AND INNES	7912 JEANNE D'ARC AND MILLWOOD	8154 JEANNE D'ARC AND ORLÉANS	7930 JEANNE D'ARC AND PADLER	7765 JEANNE D'ARC AND SAPINIER	8162 JEANNE D'ARC AND VINEYARD	8161 JEANNE D'ARC AND VOYAGEUR	8124 JEANNE D'ARC AND YOUVILLE	7753 MEADWGLEN AND BOYER	7732 MEADWGLEN AND DU CLAIRVAUX	1399 MEADWGLEN AND LORANGER	7730 MEADWGLEN AND MEADOWHILL	2479 MEADWGLEN AND ORLÉANS	7752 MEADWGLEN AND ROBINWOOD	7750 MEADWGLEN AND SABLEWOOD	7751 MEADWGLEN AND THORNCREST	7731 MEADWGLEN AND WILLOWBARK	7733 MEADWGLEN AND WINDFLOWER	3558 OGILVIE AND 2ND ELMRIDGE	2577 OGILVIE AND APPLEFORD	8664 OGILVIE AND ARMSTRONG ARENA	5821 OGILVIE AND DUNHAM	1563 OGILVIE AND ELMLEA	3557 OGILVIE AND ELMRIDGE	3653 OGILVIE AND KENDER	1975 OGILVIE AND L B PEARSON HS	8908 OGILVIE AND LASSITER	8700 OGILVIE AND MONTRÉAL	8706 OGILVIE AND MONTRÉAL	8782 OGILVIE AND NASKAPI	3028 ORLÉANS 1A	3028 ORLÉANS 1B	3028 ORLÉANS 1C	3028 ORLÉANS 2A	3028 ORLÉANS 2B	3028 ORLÉANS 2C	1534 ORLÉANS AND JEANNE D'ARC	7929 ORLÉANS AND ST LOUIS	5637 PLACE D'ORLEANS AND CENTRUM	2754 PRINCESS LOUISE AND BROOKRIDGE	4038 PRINCESS LOUISE AND BROOKRIDGE	2757 PRINCESS LOUISE AND CÉZANNE	1859 PRINCESS LOUISE AND CLEARCREST	2761 PRINCESS LOUISE AND HANCOCK	2758 PRINCESS LOUISE AND MONTCREST	2752 PRINCESS LOUISE AND NORVIEW	2753 PRINCESS LOUISE AND NORVIEW	1746 PRINCESS LOUISE AND THURLOW	7835 TOMPKINS AND BOURCIER	7834 TOMPKINS AND CARAVEL	8353 TOMPKINS AND PRESTON	8350 TOMPKINS AND TENTH LINE	1809 VISENEAU AND D'AMOUR	7757 VISENEAU AND DUCLOS	7761 VISENEAU AND INNES	1757 VISENEAU AND SIMARD	7726 YOUVILLE AND AD 1420	7725 YOUVILLE AND AD 1490	7863 YOUVILLE AND JEANNE D'ARC	1736 YOUVILLE AND ST JOSEPH
261 Stittsville,2203 ABBOTT AND AMY	1128 ABBOTT AND SHEA	3002 ALBERT AND BANK	3004 ALBERT AND BAY	3003 ALBERT AND KENT	3001 ALBERT AND METCALFE	3050 BAYSHORE 1A	3050 BAYSHORE 2A	3050 BAYSHORE 3A	3050 BAYSHORE 4A	3050 BAYSHORE 4B	3060 BAYVIEW	3060 BAYVIEW 1A	3060 BAYVIEW 2A	3059 CANADAN TIRE CENTRE	3013 DOMINION 1A	3013 DOMINION 2A	3013 DOMINION STN OFF STOP	2205 GRANITE RIDGE AND ABBOTT	2208 GRANITE RIDGE AND AMETHYST	1202 HAZELDEAN AND IBER	3370 HUNTMAR AND BURNABY	1833 HUNTMAR AND CORIOLIS	1308 HUNTMAR AND CYCLONE TAYLOR	1082 HUNTMAR AND PALLADUM	3010 LEBERETON 2A	3010 LEBRETON 1A	3010 LEBRETON 3A	3014 LINCOLN FIELDS 1A	3014 LINCOLN FIELDS 1B	3014 LINCOLN FIELDS 2A	3014 LINCOLN FIELDS 3A	3014 LINCOLN FIELDS 3B	3014 LINCOLN FIELDS 4A	3014 LINCOLN FIELDS 4B	3014 LINCOLN FIELDS 5A	3014 LINCOLN FIELDS OFF STOP	3000 MACKENZIE KING 1A	3000 MACKENZIE KING 2A	3019 PINECREST 1A	3019 PINECREST 2A	2185 STITTSVILLE MAIN AND AD 1224	5488 STITTSVILLE MAIN AND BEVERLY	8109 STITTSVILLE MAIN AND MANCHESTER	6377 STITTSVILLE MAIN AND WILDPINE	5489 STITTSVILLE MAIN AND WINTERGREEN	3011 TUNNEY'S PASTURE A	3011 TUNNEY'S PASTURE B	3011 TUNNEY'S PASTURE C	3011 TUNNEY'S PASTURE D	3012 WESTBORO 1A	3012 WESTBORO 1B	3012 WESTBORO 2A	3012 WESTBORO 3A	3012 WESTBORO 4A	3012 WESTBORO OFF STOP
101 Moodie,3050 BAYSHORE 1A	3050 BAYSHORE 2A	3050 BAYSHORE 3A	3050 BAYSHORE 4A	3050 BAYSHORE 4B	1000 BOOTH AND DANIEL MCCANN	9070 BOOTH AND ORANGEVILLE	2058 CARLING AND ANNA - THE ROYAL	8080 CARLING AND ARCHIBALD	8011 CARLING AND BOOTH	8016 CARLING AND CIVIC HOSPITAL	8017 CARLING AND HOLLAND	8015 CARLING AND IRVING	2350 CARLING AND KIRKWOOD	7365 CARLING AND MELROSE	8078 CARLING AND MERIVALE	8013 CARLING AND NORFOLK	8014 CARLING AND O-TRAIN STATION	1324 CARLING AND PARKDALE	7367 CARLING AND SHERWOOD	2478 CATHERINE AND BANK	6623 CATHERINE AND BAY	2480 CATHERINE AND KENT	7668 CATHERINE AND O'CONNOR	2481 CATHERINE AND PERCY	7633 HAWTHORNE AND COLONEL BY	7634 HAWTHORNE AND MAIN	3023 HURDMAN 1B	3023 HURDMAN 1C	3023 HURDMAN 2A	3023 HURDMAN 2C	3022 LEES 3A	3022 LEES 3B	3022 LEES 4A	3022 LEES 4B	3022 LEES 4C	3022 LEES 4D	6806 LEES AND CHAPEL	6808 LEES AND CONCORD	7624 LEES AND MAIN	7623 LEES AND ROSEMERE	1939 MOODIE AND AD 185	1772 MOODIE AND CORKSTOWN	1824 MOODIE AND CRYSTAL BAY CENTRE	3019 PINECREST 1A	3019 PINECREST 2A	3015 QUEENSWAY 1A	3015 QUEENSWAY 2A	3015 QUEENSWAY 3A	3015 QUEENSWAY 4A	4099 QUEENSWAY AND WOODROFFE	3015 QUEENSWAY STN LOWER LEVEL OFF ONLY	6873 RAYMOND AND BRONSON	1354 RAYMOND AND LEBRETON	3025 ST-LAURENT 3A	3025 ST-LAURENT 3B	3025 ST-LAURENT 3C	3025 ST-LAURENT 3D	3025 ST-LAURENT 4A	3025 ST-LAURENT 4B	3025 ST-LAURENT 4C	3025 ST-LAURENT 4D
161 Terry Fox,5366 6501 CAMPEAU	1270 7000 CAMPEAU	5432 ABBEYHILL AND OLD COLONY	6727 BRIDGESTONE AND BRIDLE PARK	3377 BRIDGESTONE AND CEDAR VALLEY	6221 BRIDGESTONE AND GRASSY PLAINS	3590 BRIDGESTONE AND SPUR	6200 BRIDLEWOOD AND AINTREE	5701 BRIDLEWOOD AND LONGDEN	6199 BRIDLEWOOD AND WILLOWGLEN	1138 CAMPEAU AND CANACHER	6387 CAMPEAU AND GRAY	6389 CAMPEAU AND GRAY	2421 CAMPEAU AND JOHN MLACAK ARENA	6584 CAMPEAU AND MARITIME	5828 CAMPEAU AND STONECROFT	1813 CAMPEAU AND TERON	1803 CASTLEFRANK AND ABBEYHILL	3361 CASTLEFRANK AND AIRD	4833 CASTLEFRANK AND KAKULU	1278 CASTLEFRANK AND KATIMAVIK	6184 CASTLEFRANK AND MCCURDY	1935 CASTLEFRANK AND STOKES	1919 COPE AND TEMPLEFORD	6935 COPE ANDCARRONBRIDGE	6218 EAGLESON AND AD 465	1315 EAGLESON AND CADNCE	5778 EAGLESON AND MICHAEL COWPLAND	1934 FERNBANK AND TEMPLEFORD	1930 FERNBANK AND TERRY FOX	5425 GLAMORGAN AND CASTLEFRANK	5424 GLAMORGAN AND UXBRIDGE	5603 HAZELDEAN AND EAGLESON	6242 HAZELDEAN MALL AND EAST STOP	5404 IRWIN AND HAZELDEAN	1718 IRWIN GATE AND PICKFORD	2868 KANATA AND CAMPEAU	2087 KANATA AND EARL GREY	5632 ROTHESAY AND BALLANTRAE	5406 ROTHESAY AND SHOULDICE	5414 SHELDRAKE AND MORTON	1197 STEEPLECHASE AND BON ECHO	5764 STEEPLECHASE AND CLYDESDALE	6203 STEEPLECHASE AND INWOOD	6201 STEEPLECHASE AND KOKANEE GATE	6204 STEEPLECHASE AND MATTAWA	3709 STEEPLECHASE AND PINE HILL	3576 STEEPLECHASE AND SAUBLE	5776 STEEPLECHASE AND SPRINGWATER	6209 STEEPLECHASE AND SPRUCEMEADW	6217 STONEHAVEN AND BRIDLEWOOD	7978 TERON AND PENFIELD	6446 TERON AND SALTER	3058 TERRY FOX 3B	3058 TERRY FOX 3C	3058 TERRY FOX 4A	3058 TERRY FOX 4B
22 Albert Bay,3002 ALBERT AND BANK	3003 ALBERT AND KENT	3001 ALBERT AND METCALFE	3020 LAURIER 1A	3020 LAURIER 2A	3000 MACKENZIE KING 1A	3000 MACKENZIE KING 2A	3076 MILLENNIUM 1A	3076 MILLENNIUM 2A	9075 MILLENNIUM AND TRIM	5908 PORTOBELLO AND AD 1538	3250 SPRINGRIDGE AND BIRDSEYE	3248 SPRINGRIDGE AND CAPRIHANI	3249 SPRINGRIDGE AND HEATHERSTONE	3247 SPRINGRIDGE AND LOBELIA	3246 SPRINGRIDGE AND TRIM	3029 TRIM 1A	3029 TRIM 2A	1403 TRIM AND DAIRY	3277 TRIM AND GERALD	1406 TRIM AND OLD MONTREAL	9072 TRIM AND SALZBURG	3251 TRIM AND TEMPO PATHWAY	3253 TRIM AND WATTERS	2090 TRIM PARK & RIDE
681 Kanata,5376 2405 ROBERTSON	5383 2775 ROBERTSON	2013 2839 ROBERTSON	2064 760 EAGLESON (SUPERSTORE)	1932 ABBEYHILL AND BANNING	5305 BELL HS	5304 BELL HS AND CASSIDY	3376 BRIDGESTONE AND CEDAR VALLEY	4925 BRIDGESTONE AND GRASSY PLAINS	3569 BRIDGESTONE AND MILNER DOWNS	6200 BRIDLEWOOD AND AINTREE	5701 BRIDLEWOOD AND LONGDEN	6199 BRIDLEWOOD AND WILLOWGLEN	1610 CASSIDY AND BELL HS	5303 CASSIDY AND GRANGEMILL	5428 CASTLEFRANK AND ABBEYHILL	5429 CASTLEFRANK AND AD 114	5421 CASTLEFRANK AND GLAMORGAN	5430 CASTLEFRANK AND SHELDRAKE	6936 COPE AND AKERSON	4031 COPE AND NORTHGRAVES	6197 EAGLESON AND AD 500	1800 EAGLESON AND MICHAEL COWPLAND	5777 EAGLESON AND ROTHESAY	5301 EATON AND LYNHAR	1933 FERNBANK AND TERRY FOX	6585 GLAMORGAN AND ROTHESAY	1966 GLAMORGAN AND UXBRIDGE	2460 HAZELDEAN MALL AND WEST STOP	4902 LARKSPUR AND NORTHSIDE	5297 NORTHSIDE AND FOOTHILLS	2872 NORTHSIDE AND THORNCLIFF	5286 ROBERTSON AND FITZGERALD	5390 ROBERTSON AND GREENBELT	5381 ROBERTSON AND HAANEL	5377 ROBERTSON AND MILL HILL	5287 ROBERTSON AND MOODIE	5291 ROBERTSON AND STINSON	5289 ROBERTSON AND VANIER	1937 ROTHESAY AND EAGLESON	1066 ROTHESAY AND OLD COLONY	5407 ROTHESAY AND SHOULDICE	1916 SHELDRAKE AND BINSCARTH	1967 SHELDRAKE AND CASTLEFRANK	5418 SHELDRAKE AND LAURIE	1197 STEEPLECHASE AND BON ECHO	5764 STEEPLECHASE AND CLYDESDALE	6203 STEEPLECHASE AND INWOOD	6201 STEEPLECHASE AND KOKANEE GATE	6204 STEEPLECHASE AND MATTAWA	3709 STEEPLECHASE AND PINE HILL	3576 STEEPLECHASE AND SAUBLE	5776 STEEPLECHASE AND SPRINGWATER	6217 STONEHAVEN AND BRIDLEWOOD
148 Hurdman,8296 BANK AND KILBORN	8295 BANK AND OHIO	3034 BILLINGS BRIDGE 1A	3034 BILLINGS BRIDGE 2A	3034 BILLINGS BRIDGE 3A	3034 BILLINGS BRIDGE 3B	3034 BILLINGS BRIDGE 3C	3034 BILLINGS BRIDGE 4B	3034 BILLINGS BRIDGE 4C	3034 BILLINGS BRIDGE 4D	3034 BILLINGS BRIDGE AND BANK	7276 CANTERBURY AND AD 860	7278 CANTERBURY AND ARCH	8340 CANTERBURY AND HALIFAX	8345 CANTERBURY AND PLESSER	7279 CANTERBURY AND URBANDALE	8813 ELMVALE MALL STOP	5804 HALIFAX AND DAKOTA	3023 HURDMAN 1B	3023 HURDMAN 1C	3023 HURDMAN 2A	3023 HURDMAN 2C	3030 LYCÉE CLAUDEL 1A	3030 LYCÉE CLAUDEL 2A	3033 PLEASANT PARK 1A	3033 PLEASANT PARK 2A	3033 PLEASANT PARK 3A	3033 PLEASANT PARK 4A	3329 PLEASANT PARK AND ARCH	7269 PLEASANT PARK AND CAMROSE	8337 PLEASANT PARK AND HAIG	3032 RIVERSIDE 1A	3032 RIVERSIDE 2A	3031 SMYTH 1A	3031 SMYTH 2A	8347 ST LAURENT AND CONNERY	8348 ST LAURENT AND FOLEY	7285 ST LAURENT AND JOLIFFE	8329 ST LAURENT AND TAWNEY
4 Rideau,1585 BRONSON AND CHAMBERLAIN	6866 BRONSON AND CLEMOW	5813 CARLETON U - O-TRAIN TRILLIUM LINE	7557 ELGIN AND WELLINGTON	1368 KENT AND QUEEN	3005 SLATER AND BAY	6610 UNIVERSITY AND GYMNASIUM
99 Barrhaven Centre,1491 ANN AND MAPLE	3049 BEATRICE 1A	3049 BEATRICE 2A	1497 BEAVERWOOD AND ANN	3034 BILLINGS BRIDGE 1A	3034 BILLINGS BRIDGE 2A	3034 BILLINGS BRIDGE 3A	3034 BILLINGS BRIDGE 3B	3034 BILLINGS BRIDGE 3C	3034 BILLINGS BRIDGE 4B	3034 BILLINGS BRIDGE 4C	3034 BILLINGS BRIDGE 4D	3034 BILLINGS BRIDGE AND BANK	2848 BRIDGE AND MAIN	2850 BRIDGE AND WEST RIVER	1495 DR LEACH AND MANOTICK ARENA	1496 DR LEACH AND MANOTICK ARENA	3037 GREENBORO	3037 GREENBORO 1A	3037 GREENBORO 1B	3037 GREENBORO 2A	3035 HERON 1A	3035 HERON 2A	3035 HERON 3A	3035 HERON 4A	3023 HURDMAN 1B	3023 HURDMAN 1C	3023 HURDMAN 2A	3023 HURDMAN 2C	3020 LAURIER 1A	3020 LAURIER 2A	3010 LEBERETON 2A	3010 LEBRETON 1A	3010 LEBRETON 3A	3041 LEITRIM 1A	3041 LEITRIM 2A	1157 LEITRIM AND ALBION	1221 LONGFIELDS AND CHAPMAN MILLS	3030 LYCÉE CLAUDEL 1A	3030 LYCÉE CLAUDEL 2A	3000 MACKENZIE KING 1A	3000 MACKENZIE KING 2A	1494 MAPLE AND SCHARFIELD	6945 MARKET PLACE AND RIOCAN	3047 MARKETPLACE 1A	3047 MARKETPLACE 2A	1235 MARKETPLACE AND LONGFIELDS	3048 NEPEAN WOODS 1A	3048 NEPEAN WOODS 2A	3033 PLEASANT PARK 1A	3033 PLEASANT PARK 2A	3033 PLEASANT PARK 3A	3033 PLEASANT PARK 4A	3032 RIVERSIDE 1A	3032 RIVERSIDE 2A	3040 RIVERVIEW 1A	3040 RIVERVIEW 2A	1493 SCHARFIELD AND BEAVERWOOD	3007 SLATER AND BANK	3005 SLATER AND BAY	2396 SLATER AND EMPRESS	3006 SLATER AND KENT	3008 SLATER AND METCALFE	3031 SMYTH 1A	3031 SMYTH 2A	3038 SOUTH KEYS 1A	3038 SOUTH KEYS 1B	3038 SOUTH KEYS 1C	3038 SOUTH KEYS 1D	3038 SOUTH KEYS 2A	1329 STRANDHERD AND PRINCE OF WALES	8608 TRANSITWAY AND HUNT CLUB	3036 WALKLEY 1A	3036 WALKLEY 2A	3036 WALKLEY 3A	3036 WALKLEY 4A	3036 WALKLEY 4B	3036 WALKLEY 4C
