name	number	code	lat	lon	type	favourite
1010 Teron	1867	WH430	45.327938	-75.897675	0	0
1090 Ambleside	2475	NJ070	45.372837	-75.780327	0	0
1145 Hunt Club	8441	RF470	45.351315	-75.652313	0	0
1237 Dunning RD	6582	EZ547	45.511074	-75.401695	0	0
1240 Dunning RD	6581	EZ554	45.510956	-75.401863	0	0
1305 Baseline	4001	SB100	45.364086	-75.733871	0	0
1305 Baseline	4046	SB110	45.363956	-75.733551	0	0
1500 Bronson	4091	RA440	45.379562	-75.685951	0	0
1500 Bronson	5626	RA450	45.379864	-75.685417	0	0
1558 Merivale	4494	SB290	45.353058	-75.734924	0	0
1692 Dunning	3234	EZ010	45.496658	-75.393639	0	0
1695 Dunning	3235	EZ012	45.496731	-75.393417	0	0
1755 Merivale	4492	SB300	45.353275	-75.734734	0	0
1805 Woodward	7496	NG440	45.369564	-75.751823	0	0
1806 Woodward	4903	NG430	45.369553	-75.751617	0	0
1929 Queensdale	6597	RH141	45.351753	-75.615387	0	0
1951 Robertson	936	WF420	45.325577	-75.824821	0	0
1966 Robertson	933	WF430	45.325291	-75.825081	0	0
2405 Robertson	5376	WI370	45.315514	-75.849228	0	0
2405 Robertson	5385	WI380	45.31535	-75.849052	0	0
2591 Queensview	4000	WC515	45.355049	-75.783478	0	0
2600 Queensview	2395	WC510	45.355091	-75.783119	0	0
2625 Sheffield	6593	AL625	45.404621	-75.606255	0	0
2630 Sheffield	6594	AL620	45.404652	-75.606476	0	0
2655 Queensview	5231	WC520	45.353596	-75.786049	0	0
2670 Queensview	2384	WC500	45.353283	-75.786354	0	0
2775 Robertson	5383	WI415	45.308773	-75.86541	0	0
2775 Robertson	5387	WI425	45.308647	-75.865204	0	0
2839 Robertson	2013	WI430	45.306812	-75.870178	0	0
2839 Robertson	2014	WI435	45.306686	-75.870071	0	0
2881 Richmond	6439	WD160	45.355274	-75.797005	0	0
300 Des Pères Blancs	7040	AB200	45.444321	-75.660179	0	0
303 Terry Fox	1463	WM402	45.349155	-75.905342	0	0
303 Terry Fox	1558	WM404	45.3493	-75.905251	0	0
329 March	7986	WH350	45.335739	-75.908211	0	0
339 West Hunt Club	1320	SD818	45.339802	-75.712738	0	0
340 West Hunt Club	1319	SD815	45.339577	-75.712509	0	0
3585 Sarsfield	3721	ER660	45.440174	-75.34269	0	0
359 Terry Fox	7997	WM385	45.350945	-75.9179	0	0
359 Terry Fox	1513	WM386	45.351025	-75.918091	0	0
360 Coventry	7118	AD20	45.421421	-75.647888	0	0
360 March	7984	WH340	45.336227	-75.908371	0	0
3636 Innes	8129	EJ470	45.448578	-75.522362	0	0
40 Hines	1174	WM435	45.343349	-75.921104	0	0
4000 Innovation	1182	WM475	45.342194	-75.930283	0	0
4048 Carling	1779	WH319	45.337967	-75.907646	0	0
4055 Carling	1749	WH318	45.338123	-75.907967	0	0
412 River	3232	RR657	45.299759	-75.694603	0	0
412 River	3233	RR659	45.299774	-75.694809	0	0
4120 Riverside	2154	RR300	45.329395	-75.693794	0	0
4120 Riverside	2155	RR310	45.329319	-75.694054	0	0
43 Auriga	6091	SD645	45.330151	-75.706055	0	0
436 Hazeldean	6253	WI495	45.300919	-75.884109	0	0
436 Hazeldean	6161	WI500	45.300816	-75.883949	0	0
4509 Innes - Métro	1712	EO612	45.461735	-75.485207	0	0
4510 Innes - Métro	1729	EO610	45.46143	-75.485649	0	0
454 Viewmount	6055	SC510	45.353561	-75.709328	0	0
454 Viewmount	6059	SC520	45.353558	-75.70919	0	0
46 Auriga	6093	SD635	45.330223	-75.706131	0	0
4898 Piperville	8511	RZ339	45.347599	-75.511131	0	0
4909 Pipperville	8510	RZ342	45.347622	-75.511551	0	0
4992 Piperville	1811	RZ338	45.348644	-75.508507	0	0
4995 Piperville	1810	RZ337	45.34877	-75.508575	0	0
518 Donald B Munro	1623	WZ220	45.344242	-76.042786	0	0
5554 Piperville	1842	RZ327	45.356464	-75.48912	0	0
5554 Piperville	1843	RZ328	45.356339	-75.489021	0	0
